tag,answer
accept_reservations,[accept_reservations] Placeholder answer for this intent.
account_blocked,[account_blocked] Placeholder answer for this intent.
alarm,[alarm] Placeholder answer for this intent.
application_status,[application_status] Placeholder answer for this intent.
apr,[apr] Placeholder answer for this intent.
are_you_a_bot,[are_you_a_bot] Placeholder answer for this intent.
balance,[balance] Placeholder answer for this intent.
bill_balance,[bill_balance] Placeholder answer for this intent.
bill_due,[bill_due] Placeholder answer for this intent.
book_flight,[book_flight] Placeholder answer for this intent.
book_hotel,[book_hotel] Placeholder answer for this intent.
calculator,[calculator] Placeholder answer for this intent.
calendar,[calendar] Placeholder answer for this intent.
calendar_update,[calendar_update] Placeholder answer for this intent.
calories,[calories] Placeholder answer for this intent.
cancel,[cancel] Placeholder answer for this intent.
cancel_reservation,[cancel_reservation] Placeholder answer for this intent.
car_rental,[car_rental] Placeholder answer for this intent.
card_declined,[card_declined] Placeholder answer for this intent.
carry_on,[carry_on] Placeholder answer for this intent.
change_accent,[change_accent] Placeholder answer for this intent.
change_ai_name,[change_ai_name] Placeholder answer for this intent.
change_language,[change_language] Placeholder answer for this intent.
change_speed,[change_speed] Placeholder answer for this intent.
change_user_name,[change_user_name] Placeholder answer for this intent.
change_volume,[change_volume] Placeholder answer for this intent.
confirm_reservation,[confirm_reservation] Placeholder answer for this intent.
cook_time,[cook_time] Placeholder answer for this intent.
credit_limit,[credit_limit] Placeholder answer for this intent.
credit_limit_change,[credit_limit_change] Placeholder answer for this intent.
credit_score,[credit_score] Placeholder answer for this intent.
current_location,[current_location] Placeholder answer for this intent.
damaged_card,[damaged_card] Placeholder answer for this intent.
date,[date] Placeholder answer for this intent.
definition,[definition] Placeholder answer for this intent.
direct_deposit,[direct_deposit] Placeholder answer for this intent.
directions,[directions] Placeholder answer for this intent.
distance,[distance] Placeholder answer for this intent.
do_you_have_pets,[do_you_have_pets] Placeholder answer for this intent.
exchange_rate,[exchange_rate] Placeholder answer for this intent.
expiration_date,[expiration_date] Placeholder answer for this intent.
find_phone,[find_phone] Placeholder answer for this intent.
flight_status,[flight_status] Placeholder answer for this intent.
flip_coin,[flip_coin] Placeholder answer for this intent.
food_last,[food_last] Placeholder answer for this intent.
freeze_account,[freeze_account] Placeholder answer for this intent.
fun_fact,[fun_fact] Placeholder answer for this intent.
gas,[gas] Placeholder answer for this intent.
gas_type,[gas_type] Placeholder answer for this intent.
goodbye,[goodbye] Placeholder answer for this intent.
greeting,[greeting] Placeholder answer for this intent.
how_busy,[how_busy] Placeholder answer for this intent.
how_old_are_you,[how_old_are_you] Placeholder answer for this intent.
improve_credit_score,[improve_credit_score] Placeholder answer for this intent.
income,[income] Placeholder answer for this intent.
ingredient_substitution,[ingredient_substitution] Placeholder answer for this intent.
ingredients_list,[ingredients_list] Placeholder answer for this intent.
insurance,[insurance] Placeholder answer for this intent.
insurance_change,[insurance_change] Placeholder answer for this intent.
interest_rate,[interest_rate] Placeholder answer for this intent.
international_fees,[international_fees] Placeholder answer for this intent.
international_visa,[international_visa] Placeholder answer for this intent.
jump_start,[jump_start] Placeholder answer for this intent.
last_maintenance,[last_maintenance] Placeholder answer for this intent.
lost_luggage,[lost_luggage] Placeholder answer for this intent.
make_call,[make_call] Placeholder answer for this intent.
maybe,[maybe] Placeholder answer for this intent.
meal_suggestion,[meal_suggestion] Placeholder answer for this intent.
meaning_of_life,[meaning_of_life] Placeholder answer for this intent.
measurement_conversion,[measurement_conversion] Placeholder answer for this intent.
meeting_schedule,[meeting_schedule] Placeholder answer for this intent.
min_payment,[min_payment] Placeholder answer for this intent.
mpg,[mpg] Placeholder answer for this intent.
new_card,[new_card] Placeholder answer for this intent.
next_holiday,[next_holiday] Placeholder answer for this intent.
next_song,[next_song] Placeholder answer for this intent.
no,[no] Placeholder answer for this intent.
nutrition_info,[nutrition_info] Placeholder answer for this intent.
oil_change_how,[oil_change_how] Placeholder answer for this intent.
oil_change_when,[oil_change_when] Placeholder answer for this intent.
order,[order] Placeholder answer for this intent.
order_checks,[order_checks] Placeholder answer for this intent.
order_status,[order_status] Placeholder answer for this intent.
pay_bill,[pay_bill] Placeholder answer for this intent.
payday,[payday] Placeholder answer for this intent.
pin_change,[pin_change] Placeholder answer for this intent.
play_music,[play_music] Placeholder answer for this intent.
plug_type,[plug_type] Placeholder answer for this intent.
pto_balance,[pto_balance] Placeholder answer for this intent.
pto_request,[pto_request] Placeholder answer for this intent.
pto_request_status,[pto_request_status] Placeholder answer for this intent.
pto_used,[pto_used] Placeholder answer for this intent.
recipe,[recipe] Placeholder answer for this intent.
redeem_rewards,[redeem_rewards] Placeholder answer for this intent.
reminder,[reminder] Placeholder answer for this intent.
reminder_update,[reminder_update] Placeholder answer for this intent.
repeat,[repeat] Placeholder answer for this intent.
replacement_card_duration,[replacement_card_duration] Placeholder answer for this intent.
report_fraud,[report_fraud] Placeholder answer for this intent.
report_lost_card,[report_lost_card] Placeholder answer for this intent.
reset_settings,[reset_settings] Placeholder answer for this intent.
restaurant_reservation,[restaurant_reservation] Placeholder answer for this intent.
restaurant_reviews,[restaurant_reviews] Placeholder answer for this intent.
restaurant_suggestion,[restaurant_suggestion] Placeholder answer for this intent.
rewards_balance,[rewards_balance] Placeholder answer for this intent.
roll_dice,[roll_dice] Placeholder answer for this intent.
rollover_401k,[rollover_401k] Placeholder answer for this intent.
routing,[routing] Placeholder answer for this intent.
schedule_maintenance,[schedule_maintenance] Placeholder answer for this intent.
schedule_meeting,[schedule_meeting] Placeholder answer for this intent.
share_location,[share_location] Placeholder answer for this intent.
shopping_list,[shopping_list] Placeholder answer for this intent.
shopping_list_update,[shopping_list_update] Placeholder answer for this intent.
smart_home,[smart_home] Placeholder answer for this intent.
spelling,[spelling] Placeholder answer for this intent.
spending_history,[spending_history] Placeholder answer for this intent.
sync_device,[sync_device] Placeholder answer for this intent.
taxes,[taxes] Placeholder answer for this intent.
tell_joke,[tell_joke] Placeholder answer for this intent.
text,[text] Placeholder answer for this intent.
thank_you,[thank_you] Placeholder answer for this intent.
time,[time] Placeholder answer for this intent.
timer,[timer] Placeholder answer for this intent.
timezone,[timezone] Placeholder answer for this intent.
tire_change,[tire_change] Placeholder answer for this intent.
tire_pressure,[tire_pressure] Placeholder answer for this intent.
todo_list,[todo_list] Placeholder answer for this intent.
todo_list_update,[todo_list_update] Placeholder answer for this intent.
traffic,[traffic] Placeholder answer for this intent.
transactions,[transactions] Placeholder answer for this intent.
transfer,[transfer] Placeholder answer for this intent.
translate,[translate] Placeholder answer for this intent.
travel_alert,[travel_alert] Placeholder answer for this intent.
travel_notification,[travel_notification] Placeholder answer for this intent.
travel_suggestion,[travel_suggestion] Placeholder answer for this intent.
uber,[uber] Placeholder answer for this intent.
update_playlist,[update_playlist] Placeholder answer for this intent.
user_name,[user_name] Placeholder answer for this intent.
vaccines,[vaccines] Placeholder answer for this intent.
w2,[w2] Placeholder answer for this intent.
weather,[weather] Placeholder answer for this intent.
what_are_your_hobbies,[what_are_your_hobbies] Placeholder answer for this intent.
what_can_i_ask_you,[what_can_i_ask_you] Placeholder answer for this intent.
what_is_your_name,[what_is_your_name] Placeholder answer for this intent.
what_song,[what_song] Placeholder answer for this intent.
where_are_you_from,[where_are_you_from] Placeholder answer for this intent.
whisper_mode,[whisper_mode] Placeholder answer for this intent.
who_do_you_work_for,[who_do_you_work_for] Placeholder answer for this intent.
who_made_you,[who_made_you] Placeholder answer for this intent.
yes,[yes] Placeholder answer for this intent.
